--------------------------------------------------------------------------------
Marvellous Infosystem Process Logger: Mon Oct  9 13:05:23 2023
--------------------------------------------------------------------------------

{'pid': 0, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'System Idle Process', 'vms': 0.05859375}
{'pid': 4, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'System', 'vms': 0.05078125}
{'pid': 8, 'username': None, 'name': 'svchost.exe', 'vms': 2.6484375}
{'pid': 240, 'username': None, 'name': 'Registry', 'vms': 2.76171875}
{'pid': 852, 'username': None, 'name': 'ciscod.exe', 'vms': 2.5859375}
{'pid': 856, 'username': None, 'name': 'Dell.TechHub.DataManager.SubAgent.exe', 'vms': 82.28515625}
{'pid': 892, 'username': None, 'name': 'smss.exe', 'vms': 1.0859375}
{'pid': 988, 'username': None, 'name': 'svchost.exe', 'vms': 8.32421875}
{'pid': 992, 'username': None, 'name': 'Dell.Remediation.Agent.exe', 'vms': 82.58203125}
{'pid': 1128, 'username': None, 'name': 'svchost.exe', 'vms': 4.00390625}
{'pid': 1152, 'username': 'ADPROD\\khiray', 'name': 'svchost.exe', 'vms': 3.30859375}
{'pid': 1180, 'username': None, 'name': 'csrss.exe', 'vms': 2.3203125}
{'pid': 1276, 'username': None, 'name': 'wininit.exe', 'vms': 1.39453125}
{'pid': 1292, 'username': None, 'name': 'csrss.exe', 'vms': 3.0234375}
{'pid': 1352, 'username': None, 'name': 'svchost.exe', 'vms': 2.36328125}
{'pid': 1356, 'username': None, 'name': 'services.exe', 'vms': 6.75}
{'pid': 1372, 'username': None, 'name': 'lsass.exe', 'vms': 10.5546875}
{'pid': 1432, 'username': None, 'name': 'svchost.exe', 'vms': 2.375}
{'pid': 1436, 'username': None, 'name': 'svchost.exe', 'vms': 1.875}
{'pid': 1468, 'username': None, 'name': 'Dell.TechHub.Instrumentation.UserProcess.exe', 'vms': 51.3203125}
{'pid': 1500, 'username': None, 'name': 'svchost.exe', 'vms': 12.18359375}
