--------------------------------------------------------------------------------
Marvellous Infosystem Process Logger: Mon Oct  9 12:58:14 2023
--------------------------------------------------------------------------------

{'pid': 0, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'System Idle Process', 'vms': 0.05859375}
{'pid': 3836, 'username': None, 'name': 'svchost.exe', 'vms': 22.0234375}
{'pid': 3844, 'username': None, 'name': 'svchost.exe', 'vms': 2.2890625}
{'pid': 3888, 'username': None, 'name': 'svchost.exe', 'vms': 2.3828125}
{'pid': 3932, 'username': None, 'name': 'svchost.exe', 'vms': 3.5}
{'pid': 3936, 'username': None, 'name': 'svchost.exe', 'vms': 1.51953125}
{'pid': 3948, 'username': None, 'name': 'svchost.exe', 'vms': 2.3984375}
{'pid': 3984, 'username': None, 'name': 'svchost.exe', 'vms': 3.375}
{'pid': 3996, 'username': 'ADPROD\\khiray', 'name': 'TextInputHost.exe', 'vms': 48.69140625}
{'pid': 4028, 'username': 'ADPROD\\khiray', 'name': 'svchost.exe', 'vms': 3.359375}
{'pid': 4032, 'username': None, 'name': 'svchost.exe', 'vms': 2.80078125}
{'pid': 4068, 'username': None, 'name': 'svchost.exe', 'vms': 2.4453125}
{'pid': 4112, 'username': None, 'name': 'svchost.exe', 'vms': 2.52734375}
{'pid': 4180, 'username': None, 'name': 'igfxCUIServiceN.exe', 'vms': 2.55859375}
{'pid': 4224, 'username': None, 'name': 'svchost.exe', 'vms': 3.03515625}
{'pid': 4240, 'username': None, 'name': 'svchost.exe', 'vms': 2.0703125}
{'pid': 4396, 'username': None, 'name': 'svchost.exe', 'vms': 3.8125}
{'pid': 4448, 'username': None, 'name': 'svchost.exe', 'vms': 3.07421875}
{'pid': 4584, 'username': None, 'name': 'svchost.exe', 'vms': 7.4609375}
{'pid': 4604, 'username': None, 'name': 'svchost.exe', 'vms': 2.51171875}
{'pid': 4760, 'username': None, 'name': 'NVDisplay.Container.exe', 'vms': 50.22265625}
{'pid': 4780, 'username': None, 'name': 'svchost.exe', 'vms': 14.52734375}
{'pid': 4924, 'username': 'ADPROD\\khiray', 'name': 'OneDrive.exe', 'vms': 75.5703125}
{'pid': 4988, 'username': None, 'name': 'WmiPrvSE.exe', 'vms': 32.95703125}
{'pid': 5096, 'username': None, 'name': 'svchost.exe', 'vms': 2.05078125}
{'pid': 5268, 'username': None, 'name': 'svchost.exe', 'vms': 5.11328125}
{'pid': 5280, 'username': None, 'name': 'GoogleCrashHandler64.exe', 'vms': 1.94921875}
{'pid': 5316, 'username': None, 'name': 'svchost.exe', 'vms': 2.00390625}
{'pid': 5324, 'username': None, 'name': 'vpnagent.exe', 'vms': 6.6015625}
{'pid': 5332, 'username': None, 'name': 'armsvc.exe', 'vms': 1.8984375}
{'pid': 5340, 'username': None, 'name': 'svchost.exe', 'vms': 1.9765625}
{'pid': 5356, 'username': None, 'name': 'svchost.exe', 'vms': 7.40625}
{'pid': 5392, 'username': 'ADPROD\\khiray', 'name': 'svchost.exe', 'vms': 2.87109375}
{'pid': 5408, 'username': 'ADPROD\\khiray', 'name': 'CodeSetup-stable-e7e037083ff4455cf320e344325dacb480062c3c.exe', 'vms': 7.453125}
{'pid': 5544, 'username': None, 'name': 'svchost.exe', 'vms': 3.97265625}
{'pid': 5564, 'username': None, 'name': 'WmiPrvSE.exe', 'vms': 12.5}
{'pid': 5648, 'username': None, 'name': 'audiodg.exe', 'vms': 194.12890625}
{'pid': 5728, 'username': None, 'name': 'OneApp.IGCC.WinService.exe', 'vms': 37.46484375}
{'pid': 5788, 'username': None, 'name': 'conhost.exe', 'vms': 6.04296875}
{'pid': 5812, 'username': None, 'name': 'wlanext.exe', 'vms': 1.52734375}
{'pid': 5840, 'username': None, 'name': 'conhost.exe', 'vms': 5.37890625}
{'pid': 5856, 'username': None, 'name': 'svchost.exe', 'vms': 3.84375}
{'pid': 5868, 'username': None, 'name': 'cvfwd.exe', 'vms': 47.30078125}
{'pid': 5916, 'username': None, 'name': 'spoolsv.exe', 'vms': 6.21484375}
{'pid': 5924, 'username': None, 'name': 'GoogleCrashHandler.exe', 'vms': 2.0}
{'pid': 5940, 'username': None, 'name': 'PGEPOService.exe', 'vms': 4.41796875}
{'pid': 5956, 'username': None, 'name': 'svchost.exe', 'vms': 1.51953125}
{'pid': 5968, 'username': None, 'name': 'OfficeClickToRun.exe', 'vms': 37.7109375}
{'pid': 5972, 'username': None, 'name': 'svchost.exe', 'vms': 2.71484375}
{'pid': 6056, 'username': None, 'name': 'svchost.exe', 'vms': 3.8046875}
{'pid': 6156, 'username': None, 'name': 'svchost.exe', 'vms': 2.92578125}
{'pid': 6168, 'username': None, 'name': 'masvc.exe', 'vms': 12.1484375}
{'pid': 6184, 'username': None, 'name': 'IntelAudioService.exe', 'vms': 39.62890625}
{'pid': 6192, 'username': None, 'name': 'fcags.exe', 'vms': 10.1640625}
{'pid': 6220, 'username': None, 'name': 'esif_uf.exe', 'vms': 2.27734375}
{'pid': 6228, 'username': None, 'name': 'RstMwService.exe', 'vms': 2.1015625}
{'pid': 6240, 'username': None, 'name': 'TbtP2pShortcutService.exe', 'vms': 1.5}
{'pid': 6248, 'username': None, 'name': 'jhi_service.exe', 'vms': 1.4921875}
{'pid': 6256, 'username': None, 'name': 'MNEService.exe', 'vms': 6.38671875}
{'pid': 6268, 'username': None, 'name': 'LMS.exe', 'vms': 8.30078125}
{'pid': 6276, 'username': None, 'name': 'MicrosoftSearchInBing.exe', 'vms': 19.7421875}
{'pid': 6288, 'username': None, 'name': 'RtkAudUService64.exe', 'vms': 5.49609375}
{'pid': 6296, 'username': None, 'name': 'svchost.exe', 'vms': 41.87890625}
{'pid': 6304, 'username': None, 'name': 'infoblox_rc_service.exe', 'vms': 4.21875}
{'pid': 6312, 'username': None, 'name': 'macmnsvc.exe', 'vms': 3.87109375}
{'pid': 6348, 'username': None, 'name': 'svchost.exe', 'vms': 8.19921875}
{'pid': 6364, 'username': None, 'name': 'svchost.exe', 'vms': 2.171875}
{'pid': 6372, 'username': None, 'name': 'WavesAudioService.exe', 'vms': 13.1015625}
{'pid': 6380, 'username': None, 'name': 'WMIRegistrationService.exe', 'vms': 3.1484375}
{'pid': 6388, 'username': None, 'name': 'svchost.exe', 'vms': 4.546875}
{'pid': 6404, 'username': None, 'name': 'DefendpointService.exe', 'vms': 59.30078125}
{'pid': 6412, 'username': None, 'name': 'CSFalconService.exe', 'vms': 25.62890625}
{'pid': 6420, 'username': None, 'name': 'MfeFfCoreService.exe', 'vms': 4.6171875}
{'pid': 6448, 'username': None, 'name': 'WavesSysSvc64.exe', 'vms': 20.328125}
{'pid': 6484, 'username': None, 'name': 'mtxagent.exe', 'vms': 47.1875}
{'pid': 6496, 'username': None, 'name': 'CptService.exe', 'vms': 1.46484375}
{'pid': 6524, 'username': None, 'name': 'svchost.exe', 'vms': 4.86328125}
{'pid': 6564, 'username': 'ADPROD\\khiray', 'name': 'Skype.exe', 'vms': 50.203125}
{'pid': 6588, 'username': None, 'name': 'DDVRulesProcessor.exe', 'vms': 8.234375}
{'pid': 6772, 'username': 'ADPROD\\khiray', 'name': 'Code.exe', 'vms': 32.21484375}
{'pid': 6780, 'username': 'ADPROD\\khiray', 'name': 'PGSystemTray.exe', 'vms': 2.51953125}
{'pid': 6964, 'username': None, 'name': 'conhost.exe', 'vms': 6.03515625}
{'pid': 7088, 'username': None, 'name': 'EmaAgent.exe', 'vms': 27.6328125}
{'pid': 7112, 'username': None, 'name': 'GoogleUpdate.exe', 'vms': 2.5078125}
{'pid': 7424, 'username': None, 'name': 'CSFalconContainer.exe', 'vms': 1.49609375}
{'pid': 7456, 'username': None, 'name': 'dllhost.exe', 'vms': 3.38671875}
{'pid': 7540, 'username': None, 'name': 'cvd.exe', 'vms': 40.32421875}
{'pid': 7548, 'username': None, 'name': 'CSFalconContainer.exe', 'vms': 45.05078125}
{'pid': 7592, 'username': None, 'name': 'Dell.TechHub.exe', 'vms': 51.015625}
{'pid': 7648, 'username': None, 'name': 'MfeFfProxy32.exe', 'vms': 3.703125}
{'pid': 7880, 'username': None, 'name': 'svchost.exe', 'vms': 1.54296875}
{'pid': 8108, 'username': 'ADPROD\\khiray', 'name': 'conhost.exe', 'vms': 6.0859375}
{'pid': 8120, 'username': None, 'name': 'conhost.exe', 'vms': 6.03515625}
{'pid': 8172, 'username': None, 'name': 'svchost.exe', 'vms': 2.0546875}
{'pid': 8180, 'username': None, 'name': 'Dell.TechHub.Instrumentation.SubAgent.exe', 'vms': 112.59765625}
{'pid': 8228, 'username': None, 'name': 'CSFalconContainer.exe', 'vms': 18.55859375}
{'pid': 8300, 'username': None, 'name': 'fcagswd.exe', 'vms': 5.62890625}
{'pid': 8420, 'username': None, 'name': 'SgrmBroker.exe', 'vms': 7.2890625}
{'pid': 8788, 'username': 'ADPROD\\khiray', 'name': 'ShellExperienceHost.exe', 'vms': 71.3203125}
{'pid': 8932, 'username': 'ADPROD\\khiray', 'name': 'firefox.exe', 'vms': 32.41796875}
{'pid': 9052, 'username': None, 'name': 'conhost.exe', 'vms': 6.0234375}
{'pid': 9448, 'username': None, 'name': 'macompatsvc.exe', 'vms': 5.46484375}
{'pid': 9464, 'username': None, 'name': 'Dell.DCF.UA.Bradbury.API.SubAgent.exe', 'vms': 55.953125}
